date_sold,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,sqft_above,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,basement,renovated,condition,grade,city,location
735519,221900.0,3,1,1180,5650,1,0,1180,1955,98178,47.5112,-122.257,1340,5650,0,0,2,4,Seattle,SW
735576,538000.0,3,2,2570,7242,2,0,2170,1951,98125,47.721000000000004,-122.319,1690,7639,1,1,2,4,Seattle,NW
735654,180000.0,2,1,770,10000,1,0,770,1933,98028,47.7379,-122.23299999999999,2720,8062,0,0,2,3,Kenmore,NE
735576,604000.0,4,3,1960,5000,1,0,1050,1965,98136,47.5208,-122.39299999999999,1360,5000,1,0,4,4,Seattle,NW
735647,510000.0,3,2,1680,8080,1,0,1680,1987,98074,47.6168,-122.045,1800,7503,0,0,2,5,Sammamish,NE
735365,1230000.0,4,5,5420,101930,1,0,3890,2001,98053,47.6561,-122.005,4760,101930,1,0,2,8,Redmond,NE
735411,257500.0,3,2,1715,6819,2,0,1715,1995,98003,47.3097,-122.32700000000001,2238,6819,0,0,2,4,Federal Way,SW
735613,291850.0,3,2,1060,9711,1,0,1060,1963,98198,47.4095,-122.315,1650,9711,0,0,2,4,Seattle,SW
735703,229500.0,3,1,1780,7470,1,0,1050,1960,98146,47.5123,-122.337,1780,8113,1,0,2,4,Seattle,SW
735669,323000.0,3,3,1890,6560,2,0,1890,2003,98038,47.3684,-122.031,2390,7570,0,0,2,4,Maple Valley,SE
735691,662500.0,3,3,3560,9796,1,0,1860,1965,98007,47.6007,-122.145,2210,8925,1,0,2,5,Bellevue,NE
735380,468000.0,2,1,1160,6000,1,0,860,1942,98115,47.69,-122.292,1330,6000,1,0,3,4,Seattle,NE
735381,310000.0,3,1,1430,19901,1,0,1430,1927,98028,47.7558,-122.229,1780,12697,0,0,3,4,Kenmore,NE
735513,400000.0,3,2,1370,9680,1,0,1370,1977,98074,47.6127,-122.045,1370,10208,0,0,3,4,Sammamish,NE
735669,530000.0,5,2,1810,4850,1,0,1810,1900,98107,47.67,-122.39399999999999,1360,4850,0,0,2,4,Seattle,NW
735622,650000.0,4,3,2950,5000,2,0,1980,1979,98126,47.5714,-122.375,2140,4000,1,0,2,6,Seattle,NW
735445,395000.0,3,2,1890,14040,2,0,1890,1994,98019,47.7277,-121.962,1890,14018,0,0,2,4,Duvall,NE
735382,485000.0,4,1,1600,4300,1,0,1600,1916,98103,47.6648,-122.34299999999999,1610,4300,0,0,3,4,Seattle,NW
735572,189000.0,2,1,1200,9850,1,0,1200,1921,98002,47.3089,-122.21,1060,5095,0,0,3,4,Auburn,SW
735712,230000.0,3,1,1250,9774,1,0,1250,1969,98003,47.3343,-122.306,1280,8850,0,0,3,4,Federal Way,SW
735367,385000.0,4,2,1620,4980,1,0,860,1947,98133,47.7025,-122.34100000000001,1400,4980,1,0,3,4,Seattle,NW
735471,2000000.0,3,3,3050,44867,1,0,2330,1968,98040,47.5316,-122.23299999999999,4110,20336,1,0,2,6,Mercer Island,NE
735417,285000.0,5,3,2270,6300,2,0,2270,1995,98092,47.3266,-122.169,2240,7005,0,0,2,5,Auburn,SW
735369,252700.0,2,2,1070,9643,1,0,1070,1985,98030,47.3533,-122.166,1220,8386,0,0,2,4,Kent,SW
735557,329000.0,3,2,2450,6500,2,0,2450,1985,98030,47.3739,-122.17200000000001,2200,6865,0,0,3,5,Kent,SW
735540,233000.0,3,2,1710,4697,1,0,1710,1941,98002,47.3048,-122.21799999999999,1030,4705,0,0,4,3,Auburn,SW
735410,937000.0,3,2,2450,2691,2,0,1750,1915,98119,47.6386,-122.36,1760,3573,1,0,2,5,Seattle,NW
735568,667000.0,3,1,1400,1581,1,0,1400,1909,98112,47.6221,-122.314,1860,3861,0,0,4,5,Seattle,NW
735408,438000.0,3,2,1520,6380,1,0,790,1948,98115,47.695,-122.304,1520,6235,1,0,2,4,Seattle,NW
735659,719000.0,4,3,2570,7173,2,0,2570,2005,98052,47.7073,-122.11,2630,6026,0,0,2,5,Redmond,NE
735547,580500.0,3,3,2320,3980,2,0,2320,2003,98027,47.5391,-122.07,2580,3980,0,0,2,5,Issaquah,NE
735568,280000.0,2,2,1190,1265,3,0,1190,2005,98133,47.7274,-122.35700000000001,1390,1756,0,0,2,4,Seattle,NW
735408,687500.0,4,2,2330,5000,1,0,1510,1929,98117,47.6823,-122.368,1460,5000,1,0,3,4,Seattle,NW
735547,535000.0,3,1,1090,3000,1,0,1090,1929,98117,47.6889,-122.375,1570,5080,0,0,3,5,Seattle,NW
735570,322500.0,4,3,2060,6659,1,0,1280,1981,98058,47.4276,-122.15700000000001,2020,8720,1,0,2,4,Renton,SW
735397,696000.0,3,3,2300,3060,1,0,1510,1930,98115,47.6827,-122.31,1590,3264,1,1,2,5,Seattle,NW
735381,550000.0,4,1,1660,34848,1,0,930,1933,98052,47.6621,-122.132,2160,11467,1,0,0,2,Redmond,NE
735597,640000.0,4,2,2360,6000,2,0,2360,1904,98107,47.6702,-122.36200000000001,1730,4700,0,0,3,5,Seattle,NW
735642,240000.0,4,1,1220,8075,1,0,890,1969,98001,47.3341,-122.28200000000001,1290,7800,1,0,1,4,Auburn,SW
735404,605000.0,4,3,2620,7553,2,0,2620,1996,98056,47.5301,-122.18,2620,11884,0,0,2,5,Renton,NE
735429,625000.0,4,3,2570,5520,2,0,2570,2000,98074,47.6145,-122.027,2470,5669,0,0,2,6,Sammamish,NE
735456,775000.0,4,2,4220,24186,1,0,2600,1984,98166,47.445,-122.34700000000001,2410,30617,1,0,2,5,Seattle,SW
735421,861990.0,5,3,3595,5639,2,0,3595,2014,98053,47.6848,-122.016,3625,5639,0,0,2,6,Redmond,NE
735534,685000.0,3,1,1570,2280,2,0,1570,1922,98119,47.6413,-122.36399999999999,1580,2640,0,0,2,4,Seattle,NW
735443,309000.0,3,1,1280,9656,1,0,920,1959,98058,47.4485,-122.175,1340,8808,1,0,3,3,Renton,SW
735432,488000.0,3,3,3160,13603,2,0,3160,2003,98019,47.7443,-121.977,3050,9232,0,0,2,5,Duvall,NE
735682,210490.0,3,1,990,8528,1,0,990,1966,98023,47.3066,-122.37100000000001,1228,8840,0,0,2,3,Federal Way,SW
735430,785000.0,4,3,2290,13416,2,0,2290,1981,98007,47.6194,-122.15100000000001,2680,13685,0,0,3,6,Bellevue,NE
735716,450000.0,3,2,1250,5963,1,0,1250,1953,98115,47.6796,-122.301,970,5100,0,0,3,4,Seattle,NW
735668,1350000.0,3,3,2753,65005,1,1,2165,1953,98070,47.4041,-122.45100000000001,2680,72513,1,0,4,6,Vashon,SW
735492,228000.0,3,1,1190,9199,1,0,1190,1955,98148,47.4258,-122.322,1190,9364,0,0,2,4,Seattle,SW
735646,345000.0,5,3,3150,9134,1,0,1640,1966,98056,47.4934,-122.189,1990,9133,1,0,3,5,Renton,SW
735598,600000.0,3,2,1410,4080,1,0,1000,1950,98117,47.6808,-122.384,1410,4080,1,0,3,4,Seattle,NW
735634,585000.0,2,2,1980,8550,1,0,990,1981,98117,47.6989,-122.369,1480,6738,1,0,2,4,Seattle,NW
735660,920000.0,5,2,2730,6000,1,0,2130,1927,98105,47.6571,-122.281,2730,6000,1,0,2,5,Seattle,NE
735365,885000.0,4,3,2830,5000,2,0,2830,1995,98105,47.6597,-122.29,1950,5000,0,0,2,6,Seattle,NE
735464,292500.0,4,3,2250,4495,2,0,2250,2008,98042,47.3663,-122.11399999999999,2250,4500,0,0,2,4,Kent,SW
735695,301000.0,3,3,2420,4750,2,0,2420,2003,98042,47.3663,-122.12200000000001,2690,4750,0,0,2,5,Kent,SW
735472,951000.0,5,3,3250,14342,2,0,3250,1968,98008,47.588,-122.116,2960,11044,0,0,3,5,Bellevue,NE
735652,430000.0,4,3,1850,9976,2,0,1850,1991,98059,47.5059,-122.149,2270,8542,0,0,2,5,Renton,SW
735577,650000.0,3,2,2150,21235,1,0,1590,1959,98166,47.4336,-122.339,2570,18900,1,0,3,5,Seattle,SW
735473,289000.0,3,2,1260,8400,1,0,1260,1954,98148,47.4366,-122.335,1290,8750,0,0,2,4,Seattle,SW
735527,505000.0,3,2,2519,8690,2,0,2519,1973,98166,47.4428,-122.344,2500,9500,0,0,4,5,Seattle,SW
735574,549000.0,3,2,1540,1044,3,0,1540,2014,98115,47.6765,-122.32,1580,3090,0,0,2,5,Seattle,NW
735387,425000.0,3,2,1660,6000,1,0,1110,1979,98122,47.6113,-122.29700000000001,1440,4080,1,0,2,4,Seattle,NE
735557,317625.0,3,3,2770,3809,1,0,1770,1925,98144,47.5747,-122.304,1440,4000,1,0,4,4,Seattle,NW
735485,975000.0,4,3,2720,11049,2,0,2720,1989,98004,47.5815,-122.19200000000001,2750,11049,0,0,2,7,Bellevue,NE
735515,287000.0,4,3,2240,4648,2,0,2240,2005,98001,47.3378,-122.257,2221,4557,0,0,2,4,Auburn,SW
735470,204000.0,3,1,1000,12070,1,0,1000,1968,98042,47.3621,-122.11,1010,12635,0,0,3,4,Kent,SW
735396,1330000.0,5,2,3200,20158,1,0,1600,1965,98004,47.6303,-122.215,3390,20158,1,0,2,5,Bellevue,NE
735488,1040000.0,5,3,4770,50094,1,0,3070,1973,98005,47.6525,-122.16,3530,38917,1,0,3,8,Bellevue,NE
735603,325000.0,3,2,1260,5612,1,0,1260,1972,98034,47.7362,-122.179,1640,4745,0,0,3,4,Kirkland,NE
735394,571000.0,4,2,2750,7807,1,0,2250,1916,98125,47.7168,-122.287,1510,7807,1,0,4,4,Seattle,NE
735424,360000.0,4,3,2380,5000,2,0,2380,2005,98038,47.3608,-122.036,2420,5000,0,0,2,5,Maple Valley,SE
735673,349000.0,3,2,1790,50529,1,0,1090,1965,98042,47.3511,-122.073,1940,50529,1,0,4,4,Kent,SE
735542,832500.0,4,4,3430,35102,2,0,2390,1986,98075,47.5822,-121.98700000000001,3240,35020,1,0,3,7,Sammamish,NE
735519,380000.0,4,2,1760,7300,1,0,880,1956,98008,47.6034,-122.125,1680,7500,1,0,2,4,Bellevue,NE
735708,480000.0,3,1,1040,5060,1,0,1040,1941,98116,47.5636,-122.39399999999999,890,5060,0,0,2,4,Seattle,NW
735393,410000.0,3,1,1410,5060,1,0,910,1956,98133,47.7073,-122.34,1130,5693,1,0,3,4,Seattle,NW
735680,720000.0,4,3,3450,39683,2,0,3450,2002,98010,47.342,-122.025,3350,39750,0,0,2,7,Black Diamond,SE
735569,390000.0,3,3,2350,5100,2,0,2350,2003,98038,47.3512,-122.008,2350,5363,0,0,2,5,Maple Valley,SE
735589,360000.0,4,3,1900,5889,2,0,1900,1992,98038,47.349,-122.031,1870,6405,0,0,2,4,Maple Valley,SE
735534,355000.0,2,1,2020,6720,1,0,1010,1948,98118,47.5474,-122.291,1720,6720,1,0,2,4,Seattle,NE
735626,356000.0,3,2,1680,8712,1,0,1680,1964,98059,47.4811,-122.149,1850,8797,0,0,2,5,Renton,SW
735386,315000.0,3,1,960,6634,1,0,960,1952,98125,47.7264,-122.31,1570,7203,0,0,2,3,Seattle,NW
735551,940000.0,3,2,2140,3600,2,0,1900,1925,98119,47.6337,-122.365,2020,4800,1,0,2,6,Seattle,NW
735540,305000.0,5,2,2660,8400,1,0,2660,1961,98092,47.2909,-122.189,1590,8165,0,0,4,4,Auburn,SW
735402,461000.0,3,3,2770,6278,2,0,1980,2006,98056,47.5228,-122.199,1900,7349,1,0,2,6,Renton,NE
735372,215000.0,2,2,1610,2040,2,0,1610,1979,98056,47.518,-122.194,1950,2025,0,0,3,4,Renton,SW
735480,335000.0,2,2,1030,1066,2,0,765,2006,98136,47.5394,-122.387,1030,1106,1,0,2,4,Seattle,NW
735375,243500.0,4,3,1980,7403,2,0,1980,1988,98023,47.2897,-122.37200000000001,1980,7510,0,0,2,4,Federal Way,SW
735668,1100000.0,5,3,3520,6353,2,0,3520,2001,98199,47.6506,-122.391,2520,6250,0,0,3,7,Seattle,NW
735655,153000.0,3,1,1200,10500,1,0,1200,1962,98023,47.321999999999996,-122.351,1350,10500,0,0,2,4,Federal Way,SW
735439,430000.0,3,2,1580,5000,1,0,1290,1939,98117,47.687,-122.38600000000001,1570,4500,1,0,2,5,Seattle,NW
735590,700000.0,3,2,1580,5000,1,0,1290,1939,98117,47.687,-122.38600000000001,1570,4500,1,0,2,5,Seattle,NW
735484,905000.0,4,3,3300,10250,1,0,2390,1946,98040,47.5873,-122.249,1950,6045,1,1,2,4,Mercer Island,NE
735687,247500.0,3,2,1960,15681,1,0,1960,1967,98032,47.3576,-122.277,1750,15616,0,0,2,4,Kent,SW
735488,199000.0,4,2,1160,6400,1,0,1160,1975,98023,47.3036,-122.37799999999999,1160,6400,0,0,3,4,Federal Way,SW
735425,314000.0,3,2,1810,41800,1,0,1210,1980,98038,47.4109,-121.958,1650,135036,1,0,4,4,Maple Valley,SE
735369,437500.0,3,3,2320,36847,2,0,2320,1992,98045,47.4838,-121.714,2550,35065,0,0,2,6,North Bend,SE
735395,850830.0,3,3,2070,13241,1,0,1270,1910,98102,47.6415,-122.315,2200,4500,1,0,4,6,Seattle,NW
735533,555000.0,3,2,1980,3478,1,0,1440,1929,98117,47.6775,-122.37200000000001,1610,3478,1,0,3,4,Seattle,NW
735579,699950.0,3,2,2190,107593,2,0,2190,1983,98077,47.7731,-122.08,2570,47777,0,0,3,5,Woodinville,NE
735513,1090000.0,3,3,2920,8113,2,0,2920,1950,98004,47.5814,-122.196,2370,8113,0,1,2,5,Bellevue,NE
735500,290000.0,3,1,1210,33919,1,0,1210,1954,98058,47.4375,-122.184,1640,14910,0,0,2,4,Renton,SW
735690,375000.0,3,3,2340,10005,1,0,1460,1978,98058,47.4431,-122.133,2250,8162,1,0,3,5,Renton,SW
735376,460000.0,3,1,1670,4005,1,0,1170,1939,98117,47.6878,-122.38,1240,4005,1,0,3,4,Seattle,NW
735437,188500.0,2,2,1240,2493,1,0,1240,1985,98198,47.3813,-122.322,1270,4966,0,0,3,5,Seattle,SW
735662,680000.0,4,3,3140,28037,2,0,3140,1991,98077,47.7304,-122.08200000000001,2990,35001,0,0,3,7,Woodinville,NE
735472,470000.0,5,2,2030,12342,2,0,2030,1942,98052,47.6417,-122.109,2500,9433,0,0,3,4,Redmond,NE
735439,597750.0,4,3,2310,9624,2,0,2310,1984,98027,47.5386,-122.053,1940,9636,0,0,2,5,Issaquah,NE
735661,570000.0,3,2,1260,3328,1,0,700,1905,98103,47.6823,-122.34899999999999,1380,3536,1,0,4,3,Seattle,NW
735492,272500.0,3,2,1540,12600,1,0,1160,1980,98038,47.3624,-122.031,1540,11656,0,0,3,4,Maple Valley,SE
735561,329950.0,3,2,2080,5969,1,0,1080,1971,98108,47.5474,-122.295,2090,5500,1,0,2,4,Seattle,NE
735534,480000.0,4,3,3230,16171,2,0,2520,2001,98001,47.3183,-122.25299999999999,2640,8517,1,0,2,6,Auburn,SW
735558,740500.0,3,4,4380,6350,2,0,2780,1900,98117,47.6981,-122.368,1830,6350,0,0,2,5,Seattle,NW
735410,518500.0,3,4,1590,1102,3,0,1590,2010,98103,47.6824,-122.34700000000001,1620,3166,0,0,2,5,Seattle,NW
735407,205425.0,2,1,880,6780,1,0,880,1945,98178,47.5009,-122.24799999999999,1190,6780,0,0,3,3,Seattle,SW
735606,171800.0,4,2,1570,9600,1,0,1570,1950,98168,47.4965,-122.303,1880,9000,0,0,2,3,Seattle,SW
735729,535000.0,4,1,1610,2982,1,0,1610,1925,98144,47.586999999999996,-122.294,1610,4040,0,0,3,4,Seattle,NE
735600,660000.0,3,3,2400,6474,1,0,1560,1964,98177,47.7728,-122.38600000000001,2340,10856,1,0,2,5,Seattle,NW
735556,391500.0,3,2,1450,9132,1,0,1450,1987,98034,47.7288,-122.226,1580,9104,0,0,2,4,Kirkland,NE
735694,395000.0,2,1,770,6000,1,0,770,1953,98117,47.6999,-122.36399999999999,1710,6000,0,0,2,3,Seattle,NW
735541,445000.0,4,2,2100,4400,1,0,1720,1924,98118,47.5299,-122.266,1850,4400,1,0,4,4,Seattle,NE
735402,770000.0,3,2,2910,10204,2,0,2910,1990,98052,47.6897,-122.098,2700,13992,0,0,2,6,Redmond,NE
735659,1450000.0,4,3,2750,17789,1,0,1980,1914,98004,47.6141,-122.212,3060,11275,1,1,2,5,Bellevue,NE
735431,445000.0,3,2,2100,8201,1,0,1620,1967,98178,47.5091,-122.244,2660,8712,1,0,2,5,Seattle,SW
735431,260000.0,4,2,2160,8811,1,0,1360,1978,98023,47.3129,-122.39,2090,8400,1,0,2,5,Federal Way,SW
735397,822500.0,5,4,2320,4960,2,0,1720,1926,98103,47.6763,-122.352,1700,4960,1,0,4,4,Seattle,NW
735694,430000.0,4,3,2070,4310,2,0,2070,2004,98065,47.5319,-121.85,1970,3748,0,0,2,4,Snoqualmie,NE
735603,212000.0,3,2,1060,7875,1,0,1060,1986,98092,47.2761,-122.152,1420,7680,0,0,3,4,Auburn,SW
735716,660500.0,4,2,2010,9603,1,0,1440,1986,98027,47.5343,-122.054,2060,9793,1,0,2,5,Issaquah,NE
735396,784000.0,3,4,3950,111078,1,0,2460,1989,98052,47.696999999999996,-122.072,2480,88500,1,0,2,6,Redmond,NE
735365,453246.0,3,3,2010,2287,2,0,1390,2014,98029,47.5517,-121.99799999999999,1690,1662,1,0,2,5,Issaquah,NE
735624,675000.0,4,4,2140,2278,3,0,2140,2005,98107,47.6734,-122.38,1540,2285,0,0,2,6,Seattle,NW
735458,199000.0,3,2,1320,17390,1,0,1320,1956,98003,47.3257,-122.296,1550,19265,0,0,3,4,Federal Way,SW
735450,220000.0,4,2,2020,7840,1,0,1010,1968,98003,47.3309,-122.29899999999999,1750,8140,1,0,2,4,Federal Way,SW
735382,452000.0,4,2,2590,10002,1,0,1340,1968,98028,47.7689,-122.266,1550,10436,1,0,3,5,Kenmore,NE
735421,382500.0,2,1,1190,4440,1,0,1190,1981,98125,47.7135,-122.287,1060,5715,0,0,2,3,Seattle,NE
735360,519950.0,3,2,1170,1249,3,0,1170,2014,98107,47.6722,-122.381,1350,1310,0,0,2,5,Seattle,NW
735411,665000.0,2,1,1110,3200,1,0,1110,1925,98119,47.6338,-122.35799999999999,1170,3600,0,0,2,4,Seattle,NW
735422,527700.0,5,3,2820,9375,1,0,1550,1968,98006,47.5707,-122.12799999999999,2820,9375,1,0,3,5,Bellevue,NE
735726,205000.0,3,1,1610,8579,1,0,1010,1962,98058,47.4563,-122.171,1610,8579,1,0,3,4,Renton,SW
735703,420000.0,3,1,1060,8097,1,0,940,1923,98133,47.7144,-122.351,1560,7940,1,0,3,4,Seattle,NW
735656,500000.0,4,2,2030,8517,1,0,1380,1961,98006,47.5495,-122.17399999999999,2230,8824,1,0,3,5,Bellevue,NE
735570,921500.0,4,3,3670,315374,2,0,3670,1994,98077,47.7421,-122.02600000000001,2840,87991,0,0,3,6,Woodinville,NE
735409,890000.0,4,1,2550,4000,2,0,2370,1905,98109,47.6354,-122.353,2200,4000,1,0,2,5,Seattle,NW
